task_id	native_id	process	tag	name	status	exit	module	container	cpus	time	disk	memory	attempt	submit	start	complete	duration	realtime	queue	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes	vol_ctxt	inv_ctxt	workdir	scratch	error_action	n_remote_run_ids	n_spots	sample_id
9446	3402615.pbs02	download_runs	SRX2140375	download_runs (SRX2140375)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630019772952	1630019781165	1630019987538	214586	204577		9.3	0.2	55238656.0	108331008.0	55238656.0	108347392.0	1191939742.0	1166305264.0	162520.0	2682.0	41735136.0	1166294213.0	60827.0	206.0	/scratch1/btsheal/work/db/744ccc509b562668bdae4a76c8ed97			2	35544501	SRX2140375
3990	3394883.pbs02	download_runs	SRX2658698	download_runs (SRX2658698)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1629999045498	1629999060608	1630000288486	1242988	1221898		5.7	0.2	62308352.0	117301248.0	62308352.0	117317632.0	4870484418.0	4844260144.0	681905.0	9477.0	41708445.0	4844254458.0	267022.0	622.0	/scratch1/btsheal/work/db/aebbe4ac362f6543ba2cd9805205e7			1	37783715	SRX2658698
1639	3391481.pbs02	download_runs	SRX389824	download_runs (SRX389824)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1629990084873	1629990092965	1629990263379	178506	166641		5.5	0.2	59211776.0	113512448.0	59211776.0	113528832.0	504410183.0	486001666.0	71522.0	1164.0	41709347.0	485995988.0	32921.0	219.0	/scratch1/btsheal/work/db/c34f2bed4a1b807bd6062ee2eedb13			1	9881849	SRX389824
4029	3394918.pbs02	download_runs	SRX1796146	download_runs (SRX1796146)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1629999191866	1629999197812	1629999556504	364638	354927		5.1	0.2	55189504.0	108331008.0	55189504.0	108347392.0	1115816221.0	1096281098.0	152600.0	2328.0	41708246.0	1096275416.0	68051.0	221.0	/scratch1/btsheal/work/db/d3614d8f05d29dc5758a5ab816b25a			1	32241806	SRX1796146
8518	3401726.pbs02	download_runs	SRX819058	download_runs (SRX819058)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630016251580	1630016263088	1630016328055	76475	61773		10.0	0.1	50151424.0	102301696.0	50151424.0	102318080.0	195525125.0	177643276.0	30201.0	576.0	41708304.0	177637601.0	22786.0	201.0	/scratch1/btsheal/work/db/ea507ef7878a1cd1129c3f39b75915			1	3395150	SRX819058
2998	3393374.pbs02	download_runs	SRX1734418	download_runs (SRX1734418)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1629995229575	1629995245817	1629996366582	1137007	1121750		5.1	0.2	50872320.0	105209856.0	50872320.0	105226240.0	3814576378.0	3712882239.0	560883.0	10172.0	41751023.0	3712806758.0	226940.0	472.0	/scratch1/btsheal/work/dc/37b901b402e138d149e168e798db24			14	53209654	SRX1734418
1515	3391333.pbs02	download_runs	SRX2519493	download_runs (SRX2519493)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1629989621738	1629989631765	1629990298329	676591	668210		4.8	0.2	55418880.0	109682688.0	55418880.0	109699072.0	2122455990.0	2101146343.0	289677.0	4245.0	41711762.0	2101140657.0	124842.0	216.0	/scratch1/btsheal/work/dd/5955ee777741f3983f2bae23a6a9f7			1	15777033	SRX2519493
1194	3391026.pbs02	download_runs	SRX1036702	download_runs (SRX1036702)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1629988455359	1629988460614	1629990203294	1747935	1740263		7.1	0.2	55529472.0	109682688.0	55529472.0	109699072.0	9197679492.0	9157897118.0	1194776.0	17924.0	41713046.0	9157886057.0	525334.0	876.0	/scratch1/btsheal/work/de/31453d8dbd58f54199523ad0c03386			2	66570189	SRX1036702
5001	3396472.pbs02	download_runs	SRX3060104	download_runs (SRX3060104)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630002821471	1630002833620	1630002899663	78192	56336		9.8	0.1	41472000.0	88252416.0	41472000.0	88268800.0	181443413.0	163583754.0	26452.0	550.0	41710412.0	163578075.0	18949.0	248.0	/scratch1/btsheal/work/de/54e6d227c312d6c0fc86407bb80c8f			1	4969734	SRX3060104
5966	3397614.pbs02	download_runs	SRX1977958	download_runs (SRX1977958)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630006611173	1630006632037	1630006695741	84568	57877		6.9	0.2	63041536.0	118312960.0	63041536.0	118329344.0	67182922.0	49527198.0	11829.0	332.0	41708890.0	49521521.0	27904.0	313.0	/scratch1/btsheal/work/df/93b6925fe21d300f4de778a73f3924			1	13449678	SRX1977958
